	M_0001	M_0002	M_0006	M_0018	M_0022	M_0032	M_0042	M_0053	M_0056	M_0058	M_0062	M_0063	M_0066	M_0069	M_0076	M_0081	M_0083	M_0085	M_0086	M_0090	M_0097	M_0108	M_0109	M_0113	M_0117	M_0122	M_0132	M_0141	M_0142	M_0148	M_0174	M_0183	M_0191	M_0193	M_0199	M_0209	M_0210	M_0215	M_0226	M_0229	M_0230	M_0232	M_0234	M_0236	M_0239	M_0242	M_0247	M_0248	M_0262	M_0265	M_0278	M_0288	M_0292	M_0297	M_0298	M_0306	M_0307	M_0312	M_0313	M_0317	M_0327	M_0340	M_0346	M_0347	M_0350	M_0355	M_0372	M_0375	M_0381	M_0385	M_0388	M_0389	M_0404	M_0409	M_0415	M_0427	M_0437	M_0438	M_0452	M_0459	M_0467	M_0468	M_0469	M_0473	M_0505	M_0506	M_0507	M_0511	M_0517	M_0525	M_0528	M_0529	M_0537	M_0539	M_0543	M_0545	M_0578	M_0584	M_0586	M_0591	M_0606	M_0607	M_0610	M_0611	M_0614	M_0615	M_0617	M_0618	M_0622	M_0623	M_0635	M_0647	M_0657	M_0667	M_0681	M_0682	M_0684	M_0693	M_0701	M_0717	M_0720	M_0729	M_0738	M_0739	M_0743	M_0744	M_0746	M_0755	M_0756	M_0763	M_0765	M_0766	M_0769	M_0771	M_0775	M_0776	M_0778	M_0780	M_0782	M_0784	M_0790	M_0795	M_0796	M_0797	M_0799	M_0810	M_0821	M_0826	M_0831	M_0833	M_0837	M_0843	M_0846	M_0849	M_0851	M_0863	M_0870	M_0882	M_0883	M_0885	M_0887	M_0889	M_0896	M_0897	M_0899	M_0904	M_0910	M_0913	M_0917	M_0918	M_0919	M_0931	M_0932	M_0934	M_0936	M_0937	M_0940	M_0942	M_0946	M_0948	M_0949	M_0954	M_0956	M_0959	M_0983	M_0985	M_0989	M_0993	M_0994	M_1007	M_1008	M_1009	M_1027	M_1031	M_1059	M_1069	M_1070	M_1079	M_1082	M_1087
G_091	1	1	1	1	1	1	2	2	-	2	2	2	2	2	2	1	1	1	1	1	1	-	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	-	-	2	2	-	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	-	2	1	1	1	1	1	2	2	2	2	2	2
G_092	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1/2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	-	2	-	2	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	2	-	2	2	2	-	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	-	1	2	2	-	2	-	2	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1
G_093	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	-	1	1	-	1	1	1	-	1	1	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	-	1	1	1	1	2	2	2	2	2	2	2	2	2	2	-	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	-	1	1	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	-	2	2
G_094	1	1	2	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	2	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	-	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	2	2	2	2	2	2	2	-	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2
G_095	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	-	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	-	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	-	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	-	1	1	1	1	2	2	2	2	2	2
G_096	2	2	2	2	2	1	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	-	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	-	1	1	1	1	2	-	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	-	1	-	2	2	2	2	2
G_097	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	-	1	1	1	1	1	1	1	-	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	-	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	1	1	1	1	-	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1
G_098	1	1	1	1	1	1	-	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1/2	1/2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	-	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	-	2	2	1	1	1	2	-	2	-	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	-	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	2	2	2	2	2	1	1	2
G_099	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	-	2	1	1	2	-	2	-	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	-	1	2	2	2	2	2	1	1	1	1	1	1	-	1	1	1	-	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	2	2	2	2	2	1	-	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	-	-	-
G_100	2	2	2	2	2	-	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	2	2	2	2	2	2	2	-	2	2	2	2	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	2	2	2	-	2	2	2	2	2	2	2	2	-	1	2	2	2	2	2	2
G_101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	2	2	2	2	2	2	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	-	1	1	1	2	2	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	-	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
G_102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	2	-	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	-	1	1	2	-	2	2	2	2	2	-	2	2	2	2	1	1	1	1	-	1	1	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	-	2	2	2	2	2	1	1	1	1	1	-	1	1	1	2	2	-	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	-	1	1	1	1	1	1	2	1	2	2	-	2	2	2	2	2	2	2	2	2	-	-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	-	1	1	1	1	1	1	1	1
G_103	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	-	2	2	2	2	2	-	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	-	1	-	1	1	1	1	2	-	2	2	2	2	2	2	2	1	-	1	-	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	-	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1
G_104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	-	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	-	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	-	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	-	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	2	2	2	2	2	2	2	1	1	1	-	1	1	1	1	1	1	1	1	2	2	2	2	2	2
G_105	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	-	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	-	2	2	2	2	2	2	2	2	2	1	1	-	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2
G_106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	-	2	2	2	2	2	2	2	2	2	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	-	2	2	2	2	2	2	1	1	1	1	1	1	1	-	1	-	1	1	1	1	1	1	1	1	2	-	2	1	2	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	-	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	-	1	1
G_107	1	1	-	1	1	2	2	2	-	2	2	2	-	2	1/2	1/2	1/2	1/2	1/2	1	1	2	2	1	1	1	1	2	2	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	1	1	1	1	1	1	1	1
G_108	1	1	1	1	1	2	2	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	-	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	-	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	2	2	2	2	2	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	-	2
G_109	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	-	1	1	-	1	1	1	1	1	1	1	1	1	1	2	2	2	-	2	2	1	1/2	1/2	1/2	1/2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	1	1	1	1	1	-	-	1	1	1	1	1
G_110	2	2	2	-	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	-	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	-	1	-	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	2	-	2	2	-	2	2	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	-	1	1	2	2	1	1	1	1	1	-	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	-	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2
G_111	1	1	1	-	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	-	2	2	2	1	-	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	-	2	2	2	2	-	2	-	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	1	1	-	1	1	1	2	2	2	-	2	2	2	2	2	-	2	2	-	2	2	2	2	2	2	2	2	-	-	-	2	2	2	2	2	1	1	1	1	1	1	-	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2
G_112	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	-	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	-	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	-	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	-	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
G_113	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	-	1	-	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1/2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	-	-	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	-	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2
G_114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	-	2	2	2	2	1	1	2	2	2	2	2	2	2	2	-	2	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	1	2	2	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	-	2	1	1	1	1	1	1	2	2	1	-	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1
G_115	1	-	1	1	1	1	2	2	2	2	2	-	2	1	2	2	2	2	2	-	2	2	2	2	2	2	1	1	2	-	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	-	1	1	1	1	1	1	1	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	-	2	1	1	1	1	1	1	1	1	2	2	-	1	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
G_116	2	-	2	2	2	1	1	1	1	1	2	2	-	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	1	1	-	1	1	-	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	-	2	2	2	2	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	2	2	2	2	-	1	1	1	1	1	2	2	-	2	2	-	2	1	1	1	1	1	1	-	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
G_117	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	2	2	-	2	2	2	2	2	2	2	2	2	-	2	2	2
G_118	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	-	1	1	1	2	2	2	2	2	-	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	-	2	1	1	1	2	2	2	2	2	2	2	-	1	1	1	1	1	-	1	1	1	1	-	2	1	-	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	2	2	2	-	2	-	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	2	2	2	2	2
G_119	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	-	1	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	-	2	2	2	1	1	2	2	2	2	2	2	2	2	2	-	2	2	2	2	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	-	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2
G_120	2	2	2	-	2	2	2	2	2	2	2	2	2	-	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	-	1	1	1	1	1	-	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	1	-	1	1	1	1	1	1	1	1	2	-	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	-	2	-	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
G_121	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	2	1/2	1	1/2	2	2	2	1	1	1	-	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	-	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	-	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	-	2	1	1/2	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	-	1	1	1
G_122	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	-	1	1	1	1	-	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	-	2	2	1	1	1	1	2	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	2	2	-	2	2	2	-	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	-	2	2	2	-	-	2	2	2	2	2	2	1	1	1	-	1	1	2	2	2	2	1	-	1	1	1	2	2	2	1	1	1	1	2	2	2	2	2	1	1	-	1	1	1	1	1	1	1	1	1	1	1	-	2	2	2	2	-	-	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	-	1	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	-	1	1	1	1	1	1	1
